Column1;npu;freq;description;kind_of_property;unit;americanized;omop;omop label;additional computations;justification;;;
175;NPU12490;537325;Hydrogen ion in Plasma capillary Blood;pH;;0;8482;#REF!;;pH according to https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&Id=NPU12490;;;
176;NPU02187;534196;Glucose in Blood ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
177;NPU02195;523232;Glucose in Plasma venous Blood, fasting Patient;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
178;NPU01423;522907;C-reactive protein in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
179;NPU18325;512253;Lactate in Blood ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
180;NPU19608;480992;Immunoglobulin kappa-Chains(free)/Immunoglobulin lambda-Chains(free) in Plasma ;mass ratio;;0;8523;#REF!;;Ratio according to https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=AUH&ID=NPU19608;;;
181;NPU21576;480326;Procalcitonin in Plasma ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
182;NPU03958;475547;Protein in Urine ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
183;NPU03419;466931;Sex hormone-binding globulin in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
184;NPU08552;466873;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
185;NPU16393;466696;DNA(double stranded) antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
187;NPU19719;441698;Carcinoembryonic antigen in Plasma ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
188;NPU01787;440692;Cortisol in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
189;NPU18350;427993;Rheumatoid factor in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
190;NPU19912;425434;Tacrolimus in Blood ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
191;NPU27315;419613;Inhalation antigen antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
192;NPU02043;418204;Alpha-fetoprotein in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
193;NPU17053;417728;Leukocytes in Blood ;number concentration;10<sup>9</sup> per litre;billion cells per liter;#REF!;#REF!;;;;;
194;NPU21725;416007;Pregnancy-associated plasma protein A in Plasma ;arbitrary substance concentration;international unit per litre;international unit per liter;9254;#REF!;;;;;
195;NPU57691;412646;Inhalation antigen antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&ID=NPU57691;;;
196;NPU03611;409727;Treponema pallidum antibody in Plasma ;arbitrary concentration;;0;45884084;#REF!;; The unit for the test result is reported as either   ,positive, or  ,negative, :https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&ID=NPU03611 ;;;
197;NPU02482;399494;Immunoglobulin E in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
198;NPU08753;398607;Deoxyhaemoglobin in Haemoglobin total, arterial Blood;substance fraction;;0;720868;#REF!;moller fraction;{fraction}: https://labportal.rh.dk/Labkaoversigt.asp?Id=3978;;;
199;NPU12500;394868;Oxygen in Plasma capillary Blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
200;NPU14266;388001;Hydrogen carbonate in Plasma venous Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
201;NPU02613;378940;Lithium ion in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
202;NPU12229;357691;Iodide peroxidase antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);44777561;#REF!;;https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&Id=NPU12229;;;
203;NPU08561;357057;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
204;NPU14048;353515;Creatininium clearance in Kidney ;volume rate;millilitre per minute;milliliter per minute;#REF!;#REF!;;;;;
205;NPU10197;351417;Oxygen in Haemoglobin Fe, O<sub>2</sub>-binding, capillary Blood;saturation;;0;8554;#REF!;;% according to: https://labportal.rh.dk/Metodeliste.asp?Mode=Display&Id=3516;;;
206;NPU20041;342328;Iodide peroxidase antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
207;NPU10379;334777;Urine sampling in Patient ;duration;hour;hour;8505;#REF!;;Hour according to https://dok.regionsjaelland.dk/view.aspx?DokID=232046 ;;;
208;NPU03982;332165;Neutrophilocytes in Blood ;number concentration;10<sup>9</sup> per litre;billion cells per liter;#REF!;#REF!;;;;;
209;NPU03800;327243;Creatininium in Patient Urine;substance rate;millimole per day;millimole per day;8910;#REF!;;mmol/(24.h)according to: https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/K/Kreatinin%20(Urin).pdf;;;
210;NPU10265;323380;Oxyhaemoglobin in Haemoglobin Fe, total, venous Blood;substance fraction;;0;720868;#REF!;;fraction of oxyhemoglobin according to: https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/O/Oxyh%C3%A6moglobin%20(ABL)%20(Blod).pdf;;;
211;NPU28161;320545;Deamidated gliadin peptide antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://labportal.rh.dk/LabPortal.asp?Mode=View&Id=4376;;;
212;NPU03431;319226;Sodium ion in Urine ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
213;NPU26811;318319;Pro-brain natriuretic peptide(1-76) in Plasma ;substance concentration;picomole per litre;picomole per liter;#REF!;#REF!;;;;;
214;NPU16065;314572;Hepatitis B virus s antibody in Plasma ;arbitrary substance concentration;international unit per litre;international unit per liter;9254;#REF!;;;;;
215;NPU10842;312614;Birch antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
216;NPU10881;311683;Dermatophagoides pteronyssinus antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
217;NPU08676;311480;Body in Patient ;Celsius temperature;degree Celsius;degree Celsius;#REF!;#REF!;;;;;
218;NPU03010;309135;Oxygen in Haemoglobin Blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
219;NPU21536;306604;Fibrinogen in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
220;NPU10899;306378;Timothy grass antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
221;NPU10968;305594;Dog dander antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
222;NPU11028;305208;Cat dander antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
223;NPU19873;304990;Orosomucoid in Plasma ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
224;NPU10936;298491;Mugwort antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
225;NPU03609;298315;Treponema pallidum flagellum antibody in Plasma ;arbitrary concentration;;0;45884084;#REF!;;Positive or negative detection of antibodies according to:https://lmv.regionsjaelland.dk/dokument.asp?DokID=265191;;;
226;NPU03242;296378;Progesterone in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
227;NPU08556;294596;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
228;NPU03930;292543;Carbamide in Urine ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
229;NPU08904;290856;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
230;NPU03980;289735;Neutrophilocytes in Blood ;number concentration;10<sup>9</sup> per litre;billion cells per liter;#REF!;#REF!;;;;;
231;NPU13080;285645;Dermatophagoides pteronyssinus antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8923;#REF!;;kiU/L by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU13080;;;
232;NPU13041;285209;Birch antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8923;#REF!;;kiU/L by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU13041;;;
233;NPU13098;284280;Timothy grass antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=Andre&Lok=AUH&ID=NPU13098;;;
234;NPU29992;282421;Antithrombin in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
235;NPU03549;281893;Testosterone in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
236;NPU13167;279978;Dog dander antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;kU/L by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU13167;;;
237;NPU13227;279226;Cat dander antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8923;#REF!;;kiU/L by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU13227;;;
238;NPU13135;276446;Mugwort antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU13135;;;
239;NPU17562;272919;Eosinophilocytes in Blood ;number concentration;10<sup>9</sup> per litre;billion cells per liter;#REF!;#REF!;;;;;
240;NPU12567;269078;Lupus La protein antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);45884084;#REF!;;pos/neg by https://labportal.rh.dk/LabPortal.asp?Mode=View&Id=4401;;;
241;NPU21730;265121;Rheumatoid factor in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
242;NPU01253;264914;Androstenedione in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
243;NPU12564;264618;SjÃ¶gren syndrome A antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/S/Sj%C3%B8gren%20syndrom%20%5BSSA%5D-IgG%20(Plasma).pdf;;;
244;NPU17888;264335; Immunoglobulins; Thyroid-Stimulating in Plasma  ;arbitrary substance concentration;international unit per litre;international unit per liter;9254;#REF!;;;;;
245;NPU04073;264315;Homocysteine in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
246;NPU08901;257474;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
247;NPU08900;256019;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
248;NPU02050;254700;Fibrinogen in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
249;NPU21571;253998;Pro-brain natriuretic peptide(1-76) in Plasma ;mass concentration;nanogram per litre;nanogram per liter;#REF!;#REF!;;;;;
250;NPU04208;252718;Haemoglobin in Urine ;arbitrary concentration;;0;8748;#REF!;needs to be converted to this unit using the table in https://www.analysefortegnelsen.dk/analyselistezoom.asp?Lok=HEH&ID=NPU04208;ug/L https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=HEH&ID=NPU04208;;;
251;NPU17997;247532;Albumin in Urine ;arbitrary concentration;;0;8751;#REF!;;mg/L source: https://www.sundhed.dk/sundhedsfaglig/laegehaandbogen/undersoegelser-og-proever/klinisk-biokemi/urin/mikroalbumin-stiks/;;;
252;NPU08732;245870;Lamotrigine in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
253;NPU16407;245672;Rheumatoid factor in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
254;NPU27385;239838;Anti-Mullerian Hormone in Plasma ;substance concentration;picomole per litre;picomole per liter;#REF!;#REF!;;;;;
255;NPU08910;238240;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
256;NPU18383;237638;Hydrogen carbonate in Plasma arterial Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
257;NPU01992;234827;Ethanol in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
258;NPU02460;233024;17-Hydroxyprogesterone in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
259;NPU26646;231789;U1 small nuclear ribonucleoprotein (70 kDa+A+C) antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/U/U1%20snRNP(70%20kDa+A+C)-IgG%20(Plasma).pdf;;;
260;NPU26643;229776;DNA topoisomerase 1 antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://lmv.regionsjaelland.dk/dokument.asp?DokID=324599;;;
261;NPU26647;229068;Smith's antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/S/Smiths-IgG%20(Plasma).pdf;;;
262;NPU19767;228617;Fibrin D-dimer in Plasma ;mass concentration;milligram per litre;milligram per liter;#REF!;#REF!;;;;;
263;NPU04145;227045;Bilirubins in Plasma neonatal;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
264;NPU22111;227002;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
265;NPU17194;225427;Bilirubin in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
266;NPU10754;225349;Oxyhaemoglobin in Haemoglobin Fe, total, capillary Blood;substance fraction;;0;8728;#REF!;;%{sat} Source: https://labportal.rh.dk/Metodeliste.asp?Mode=Display&Id=3511;;;
267;NPU10293;225194; Cholesterol+ester/Cholesterol+ester; in HDL in Plasma fasting Patient ;substance ratio;;0;8753;#REF!;;mmol/L according to: https://labportal.rh.dk/Labkaoversigt.asp?Page=132;;;
268;NPU08566;223360;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
269;NPU26644;222424;Major centromere autoantigen B antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/M/Major%20centromere%20B-IgG%20(Plasma).pdf;;;
270;NPU26642;220668;Histidine--tRNA ligase antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/H/Histidin-tRNA-ligase%20%5BJo1%5D-IgG%20(Plasma).pdf;;;
271;NPU19568;219589;Helicobacter pylori in Gastric Mucosa ;arbitrary concentration;;0;45884084;#REF!;;probably presence due to pattern of code name, no procedure page found. ;;;
272;NPU04121;217495;Dehydroepiandrosterone sulfate in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
273;NPU19929;214344;Vancomycin in Plasma ;mass concentration;milligram per litre;milligram per liter;#REF!;#REF!;;;;;
274;NPU04177;213027;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
275;NPU19617;212231;Food allergen antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
276;NPU02190;210822;Glucose in Cerebrospinal fluid ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
277;NPU53053;210193;Fibrinogen in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
278;NPU03276;207992;Protein in Cerebrospinal fluid ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
279;NPU29069;202495;Peptidyl dipeptidase A in Plasma ;catalytic-activity concentration;Unit per litre;Unit per liter;#REF!;#REF!;;;;;
280;NPU01962;200541;Erythrocytes in Cerebrospinal fluid ;number concentration;million per litre;million per liter;#REF!;#REF!;;;;;
281;NPU11574;196190;Inhalation antigen antibody in Plasma ;arbitrary concentration;;0;8645;#REF!;;[U]/L according to :https://www.sundhed.dk/sundhedsfaglig/laegehaandbogen/undersoegelser-og-proever/klinisk-biokemi/blodproever/allergiscreening-phadiatop/;;;
282;NPU12181;194890;Human hepatitis A virus antibody in Plasma ;arbitrary concentration;;0;9158;#REF!;;[MPL'U]/mL according to: https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=AUH&ID=NPU12181;;;
283;NPU03277;193999;Protein in Patient Urine;mass rate;gram per day;gram per day;8807;#REF!;;g/(24.h) according to:;;;
284;NPU01886;193935;Digoxin in Plasma ;substance concentration;nanomole per litre;nanomole per liter;#REF!;#REF!;;;;;
285;NPU10958;190139;Horse dander antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
286;NPU26814;190038;Calprotectin in Faeces ;mass fraction;milligram per kilogram;milligram per kilogram;#REF!;#REF!;;;;;
287;NPU17147;189705;Hydrogen ion in Plasma cord Blood, arterial Blood;pH;;0;8482;#REF!;;pH according to:https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=AUH&Lok=AUH&Id=NPU17147 ;;;
288;NPU03787;189086;Potassium ion in Urine ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
289;NPU17148;188478;Hydrogen ion in Plasma cord Blood, venous Blood;pH;;0;8482;#REF!;;pH according to: https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&Id=NPU17148;;;
290;NPU22120;185544;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
291;NPU17181;180796;Brain natriuretic peptide in Plasma ;substance concentration;picomole per litre;picomole per liter;#REF!;#REF!;;;;;
292;NPU01458;179520;Carbamide in Patient Urine;substance rate;millimole per day;millimole per day;8910;#REF!;;;;;
293;NPU17597;179373;Naked nuclei in Blood ;number concentration;10<sup>9</sup> per litre;billion cells per liter;#REF!;#REF!;;;;;
294;NPU20197;176100;Erythrocytes in Urine ;number concentration;million per litre;million per liter;#REF!;#REF!;;;;;
295;NPU02194;175051;Glucose in Urine ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
296;NPU23869;174703;Ethanol in Plasma ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
297;NPU20198;173962;Leukocytes in Urine ;number concentration;million per litre;million per liter;#REF!;#REF!;;;;;
298;NPU17139;173797;Carbon dioxide in Plasma cord Blood, arterial Blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
299;NPU08914;173567;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
300;NPU17140;173034;Carbon dioxide in Plasma cord Blood, venous Blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
301;NPU14264;171907;Hydrogen carbonate in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
302;NPU01450;171168;Cancer antigen 19-9 in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);44777561;#REF!;;by https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/C/Cancer-antigen%2019-9%20(Plasma).pdf;;;
304;NPU22157;168352;Pregnancy-associated plasma protein A in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8923;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/D/Doubletest%20gruppe%20[foster]%20(Plasma).pdf;;;
305;NPU08909;166998;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
306;NPU26690;166105;Erythrocyte(non ABO) antibody in Plasma ;arbitrary concentration;;0;45884084;#REF!;;positive or negative according to: https://metodebok.no/index.php?action=topic&item=izRbxYAK;;;
307;NPU12526;165338;Carbon dioxide in Plasma arterial Blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
308;NPU02412;164809;Hydrogen ion in Plasma arterial Blood;pH;;0;8482;#REF!;;pH according to: https://labportal.rh.dk/labportal.asp?Mode=Display&Id=3712;;;
309;NPU19725;164127;Ciclosporin in Blood ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
310;NPU14104;164006;Oxygen in Plasma arterial Blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
311;NPU10007;163936;Antithrombin in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
312;NPU04084;162378; Coagulation; tissue factor-induced in Plasma  ;relative time;;0;44777659;#REF!;;(prothrombin)/s according to:https://dake2.dudal.com  files  infusing PDF;;;
313;NPU19692;161834;Alpha-1-antitrypsin in Plasma ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
314;NPU02594;158354;Leukocytes in Cerebrospinal fluid ;number concentration;million per litre;million per liter;#REF!;#REF!;;;;;
315;NPU03796;156836;Sodium ion in Patient Urine;substance rate;millimole per day;millimole per day;8910;#REF!;;;;;
316;NPU01012;156030;Acetoacetate in Urine ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
317;NPU08555;152511;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
318;NPU18005;150587;C-peptide in Plasma fasting Patient;substance concentration;picomole per litre;picomole per liter;#REF!;#REF!;;;;;
319;NPU08915;149999;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
320;NPU03804;149512;Body in Patient ;mass;kilogram;kilogram;9529;#REF!;;;;;
322;NPU22114;147348;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
323;NPU18412;146845;Cholesterol+ester in Plasma fasting Patient;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
324;NPU10157;146359; Cholesterol+ester; in HDL in Plasma fasting Patient ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
325;NPU03735;145926;Valproate in Plasma ;substance concentration;micromole per litre;micromole per liter;8749;#REF!;;;;;
326;NPU19894;145353;Procollagen Type III N-Terminal Peptide in Plasma ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
327;NPU20185;143119;Hydrogen ion in Urine ;pH;;0;8482;#REF!;;pH according to: https://www.fagperson.auh.dk  arsberetning-2011 PDF;;;
328;NPU17167;142462;Protein in Urine ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
329;NPU13157;141132;Horse dander antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;kiU/L by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU13157;;;
330;NPU28638;139777;Immunoglobulin G in Plasma ;mass concentration;gram per litre;gram per liter;8636;#REF!;;;;;
331;NPU08547;138328;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
332;NPU12520;135159;Base excess in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
333;NPU22084;134140;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
334;NPU08957;132731;Cannabinoid in Urine ;arbitrary concentration;;0;45884084;#REF!;;positive or negative according to: https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&ID=NPU08957;;;
335;NPU57688;132119;Food allergen antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8923;#REF!;;https://e-dok.rm.dk/edok/Admin/GUI.nsf/Desktop.html?open&openlink=https://e-dok.rm.dk/edok/enduser/portal.nsf/Main.html?open&unid=XC1257E0B003E3E88C12582F1003A607A&level=ALL&dbpath=/edok/editor/700513.nsf/&windowwidth=1100&windowheight=600&windowtitle=S%F8g;;;
336;NPU18004;130081;C-peptide in Plasma ;substance concentration;picomole per litre;picomole per liter;#REF!;#REF!;;;;;
337;NPU22112;129711;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
338;NPU08905;128509;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
339;NPU22075;127636;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
340;NPU28160;124749;Acidic ribosomal protein antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);8810;#REF!;;https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/R/Ribosomal%20protein-IgG%20%5BRib%20P%5D%20(Plasma).pdf;;;
341;NPU19924;123340; Troponin T; cardiac muscle in Plasma  ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
342;NPU22121;123065;Glucose in Plasma capillary Blood;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
343;NPU10879;122698;Dermatophagoides farinae antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
344;NPU19626;118693;Mold fungus antibody in Plasma ;arbitrary substance concentration;10Â³ international unit per litre;10Â³ international unit per liter;8923;#REF!;;;;;
345;NPU19829;117979;Insulin-like growth factor I in Plasma ;mass concentration;microgram per litre;microgram per liter;8748;#REF!;;;;;
346;NPU08553;117948;Glucose in Plasma ;substance concentration;millimole per litre;millimole per liter;#REF!;#REF!;;;;;
347;NPU28820;117492;Carbon dioxide in Plasma central venous blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
348;NPU28389;117186;DNA-directed RNA polymerase III subunit RPC1 antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);45884084;#REF!;;presenceby https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU28389;;;
349;NPU28829;116774;Oxygen in Plasma central venous blood;gas tension;kilopascal;kilopascal;#REF!;#REF!;;;;;
350;NPU28824;116763;Hydrogen ion in Plasma central venous blood;pH;;0;8482;#REF!;;pH according to:https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&Id=NPU28824 ;;;
351;NPU28706;116763;Nuclear antigen antibody in Plasma ;arbitrary concentration;;0;8525;#REF!;;{titer} according to: https://synlab.se/provtagningsanvisningar/ANA-S-;;;
352;NPU12584;116088;Proliferating cell nuclear antigen antibody in Plasma ;arbitrary substance concentration;(procedure defined unit);(procedure defined unit);45878583;#REF!; convert to positive/negative/inconclusive by Negativ: < 7 kU/L
Inkonklusiv: 7-10 kU/L
